observation-1,observation-2,observation-3,observation-4,observation-5
131602039.26,1.5,0.005,0.005,128857326.55
15167040.166,1.5,0.005,0.005,12422327.456
13992521.334,1.5,0.005,0.005,11247808.624
15586401.261,1.5,0.005,0.005,12841688.551
3820605.115,1.5,0.005,0.005,1075892.405
11069821.97,1.5,0.005,0.005,8325109.26
14393338.273,1.5,0.005,0.005,11648625.563
15483058.331,1.5,0.005,0.005,12738345.621
8365826.28,1.5,0.005,0.005,5621113.57
32713013.712,1.5,0.005,0.005,29968301.002
23742603.485,1.5,0.005,0.005,20997890.775
16965524.7,1.5,0.005,0.005,14220811.99
31749475.333,1.5,0.005,0.005,29004762.623
8440471.734,1.5,0.005,0.005,5695759.024
6655245.415,1.5,0.005,0.005,3910532.705
23377692.894,1.5,0.005,0.005,20632980.184
6910869.327,1.5,0.005,0.005,4166156.617
5754098.405,1.5,0.005,0.005,3009385.695
14276621.334,1.5,0.005,0.005,11531908.624
32625277.483,1.5,0.005,0.005,29880564.773
5703888.8,1.5,0.005,0.005,2959176.09
5909614.847,1.5,0.005,0.005,3164902.137
55177815.495,1.5,0.005,0.005,52433102.785
3816046.56,1.5,0.005,0.005,1071333.85
6708457.234,1.5,0.005,0.005,3963744.524
8647625.745,1.5,0.005,0.005,5902913.035
6680754.582,1.5,0.005,0.005,3936041.872
5141526.721,1.5,0.005,0.005,2396814.011
31502097.036,1.5,0.005,0.005,28757384.326
8640115.379,1.5,0.005,0.005,5895402.669
3817531.379,1.5,0.005,0.005,1072818.669
5779480.89,1.5,0.005,0.005,3034768.18
12551952.747,1.5,0.005,0.005,9807240.037
8620054.789,1.5,0.005,0.005,5875342.079
11062662.117,1.5,0.005,0.005,8317949.407
6138774.319,1.5,0.005,0.005,3394061.609
43804069.207,1.5,0.005,0.005,41059356.497
8517269.129,1.5,0.005,0.005,5772556.419
8237032.009,1.5,0.005,0.005,5492319.299
3513611.135,1.5,0.005,0.005,768898.425
8455123.388,1.5,0.005,0.005,5710410.678
63499267.02,1.5,0.005,0.005,60754554.31
10909563.488,1.5,0.005,0.005,8164850.778
4925386.53,1.5,0.005,0.005,2180673.82
7731939.141,1.5,0.005,0.005,4987226.431
10866210.716,1.5,0.005,0.005,8121498.006
146088296.334,1.5,0.005,0.005,143343583.624
9015423.055,1.5,0.005,0.005,6270710.345
139974699.815,1.5,0.005,0.005,137229987.105
4695315.155,1.5,0.005,0.005,1950602.445
34695168.857,1.5,0.005,0.005,31950456.147
49260279.19,1.5,0.005,0.005,46515566.48
6055505.535,1.5,0.005,0.005,3310792.825
8030465.3,1.5,0.005,0.005,5285752.59
6256142.315,1.5,0.005,0.005,3511429.605
85316324.567,1.5,0.005,0.005,82571611.857
5773428.977,1.5,0.005,0.005,3028716.267
6594875.38,1.5,0.005,0.005,3850162.67
8799293.99,1.5,0.005,0.005,6054581.28
7782083.815,1.5,0.005,0.005,5037371.105
5830997.563,1.5,0.005,0.005,3086284.853
12604992.565,1.5,0.005,0.005,9860279.855
4294388.348,1.5,0.005,0.005,1549675.638
4519914.53,1.5,0.005,0.005,1775201.82
5963771.099,1.5,0.005,0.005,3219058.389
12074014.971,1.5,0.005,0.005,9329302.261
13324185.03,1.5,0.005,0.005,10579472.32
7652879.111,1.5,0.005,0.005,4908166.401
22752161.708,1.5,0.005,0.005,20007448.998
4596258.828,1.5,0.005,0.005,1851546.118
7156608.419,1.5,0.005,0.005,4411895.709
85513360.945,1.5,0.005,0.005,82768648.235
8733194.626,1.5,0.005,0.005,5988481.916
7673459.195,1.5,0.005,0.005,4928746.485
4995580.745,1.5,0.005,0.005,2250868.035
5481076.87,1.5,0.005,0.005,2736364.16
10996743.144,1.5,0.005,0.005,8252030.434
131727702.51,1.5,0.005,0.005,128982989.8
16683804.815,1.5,0.005,0.005,13939092.105
19221312.043,1.5,0.005,0.005,16476599.333
9165809.654,1.5,0.005,0.005,6421096.944
24216735.841,1.5,0.005,0.005,21472023.131
8606392.091,1.5,0.005,0.005,5861679.381
7917884.093,1.5,0.005,0.005,5173171.383
15088680.104,1.5,0.005,0.005,12343967.394
17856810.9,1.5,0.005,0.005,15112098.19
69580636.72,1.5,0.005,0.005,66835924.01
5156112.835,1.5,0.005,0.005,2411400.125
5086501.293,1.5,0.005,0.005,2341788.583
9353659.89,1.5,0.005,0.005,6608947.18
3451211.227,1.5,0.005,0.005,706498.517
3844940.16,1.5,0.005,0.005,1100227.45
5862215.566,1.5,0.005,0.005,3117502.856
7673084.33,1.5,0.005,0.005,4928371.62
13383711.523,1.5,0.005,0.005,10638998.813
9247817.755,1.5,0.005,0.005,6503105.045
3964393.389,1.5,0.005,0.005,1219680.679
7068239.517,1.5,0.005,0.005,4323526.807
3357205.015,1.5,0.005,0.005,612492.305
77538336.172,1.5,0.005,0.005,74793623.462
5239416.206,1.5,0.005,0.005,2494703.496
13203737.23,1.5,0.005,0.005,10459024.52
14402423.031,1.5,0.005,0.005,11657710.321
4872277.608,1.5,0.005,0.005,2127564.898
6825158.153,1.5,0.005,0.005,4080445.443
11510792.446,1.5,0.005,0.005,8766079.736
21062316.91,1.5,0.005,0.005,18317604.2
4644469.603,1.5,0.005,0.005,1899756.893
15922963.738,1.5,0.005,0.005,13178251.028
6698509.792,1.5,0.005,0.005,3953797.082
9085288.86,1.5,0.005,0.005,6340576.15
